special;command_block;e30=
special;chain_command_block;e30=
special;repeating_command_block;e30=
special;command_block_minecart;e30=
special;barrier;e30=
special;structure_block;e30=
special;structure_void;e30=
special;jigsaw;e30=
special;spawner;e30=
grief;wither_skeleton_spawn_egg;e0VuY2hhbnRtZW50czpbe2lkOiJtaW5lY3JhZnQ6dW5icmVha2luZyIsbHZsOjFzfV0sRW50aXR5VGFnOntFeHBsb3Npb25Qb3dlcjoxNSxkaXJlY3Rpb246WzAuMGQsLTEuMGQsMC4wZF0saWQ6Im1pbmVjcmFmdDpmaXJlYmFsbCIscG93ZXI6WzAuMGQsLTEuMGQsMC4wZF19LEhpZGVGbGFnczo2MyxkaXNwbGF5OntOYW1lOid7ImV4dHJhIjpbeyJib2xkIjpmYWxzZSwiaXRhbGljIjpmYWxzZSwidW5kZXJsaW5lZCI6ZmFsc2UsInN0cmlrZXRocm91Z2giOmZhbHNlLCJvYmZ1c2NhdGVkIjpmYWxzZSwiY29sb3IiOiJkYXJrX2dyYXkiLCJ0ZXh0IjoiRmlyZWJhbGwgW1RpbnldIn1dLCJ0ZXh0IjoiIn0nfX0=
grief;wither_skeleton_spawn_egg;e0VuY2hhbnRtZW50czpbe2lkOiJtaW5lY3JhZnQ6dW5icmVha2luZyIsbHZsOjFzfV0sRW50aXR5VGFnOntFeHBsb3Npb25Qb3dlcjoyNSxkaXJlY3Rpb246WzAuMGQsLTEuMGQsMC4wZF0saWQ6Im1pbmVjcmFmdDpmaXJlYmFsbCIscG93ZXI6WzAuMGQsLTEuMGQsMC4wZF19LEhpZGVGbGFnczo2MyxkaXNwbGF5OntOYW1lOid7ImV4dHJhIjpbeyJib2xkIjpmYWxzZSwiaXRhbGljIjpmYWxzZSwidW5kZXJsaW5lZCI6ZmFsc2UsInN0cmlrZXRocm91Z2giOmZhbHNlLCJvYmZ1c2NhdGVkIjpmYWxzZSwiY29sb3IiOiJkYXJrX2dyYXkiLCJ0ZXh0IjoiRmlyZWJhbGwgW1NtYWxsXSJ9XSwidGV4dCI6IiJ9J319
